Date,open,high,low,close,adj close,volume,sentiment,btc_trans_blockchain,avg_block_size,unique_sentbyaddress,avg_hashrate,sent_in_usd,median_trans_fee,avg_block_confirm_time_min,median_trans_value_usd,sma_20,ema_20,ema_12,ema_26,macd,signal_line,rsi,%k,%d,middle_band,upper_band,lower_band
2015-02-02,226.490997,242.175003,222.658997,238.229004,238.229004,30612100,-1,85828.0,308345.0,149103.0,3.06e+17,179640320.0,0.0227,9.057,88.732,227.00159985,240.0086615035878,235.14489270654275,245.46274925707917,-10.317856550536419,-12.992025225190028,47.212123280189765,31.733364400225533,24.21712023453996,227.00159985,271.7343919482313,182.26880775176872
2015-02-03,237.453995,245.957001,224.483002,227.268005,227.268005,40783700,-1,104779.0,408464.0,177855.0,3.33e+17,474379907.0,0.0262,9.114,70.813,229.45985025,238.79526564610325,233.93306382861311,244.11499042322146,-10.181926594608342,-12.430005499073692,43.95050398868357,16.35496831138108,23.007214565287796,229.45985025,267.8292335563809,191.09046694361905
2015-02-04,227.511002,230.057999,221.113007,226.852997,226.852997,26594300,1,111904.0,367106.0,173673.0,3.45e+17,170169948.0,0.0248,8.675,54.615,230.31030040000002,237.65790672742673,232.84382277805724,242.83632424372357,-9.992501465666322,-11.94250469239222,43.82704777148522,15.238933737064823,21.109088816223807,230.31030040000002,267.58748134442345,193.0331194555766
2015-02-05,227.664993,239.404999,214.725006,217.110992,217.110992,22516400,1,94955.0,371317.0,172636.0,3.5e+17,174079194.0,0.0234,9.796,42.784,230.76099999999997,235.70105770576703,230.42338727374073,240.9307440775218,-10.507356803781079,-11.655475114669992,40.921192686765636,5.233691206289858,12.275864418245249,230.76099999999997,267.11386846284245,194.40813153715746
2015-02-06,216.923004,230.509995,216.231995,222.266006,222.266006,24435300,1,128057.0,468759.0,210342.0,3.29e+17,234154735.0,0.0224,9.6,106.245,231.91130055,234.42152897188444,229.16840553931908,239.54817088659428,-10.379765347275196,-11.400333161191034,43.07210661756344,10.527998211833422,10.333541051729362,231.91130055,265.4112149126804,198.4113861873196
2015-02-07,222.632996,230.298996,222.606995,227.753998,227.753998,21604200,-1,141999.0,476853.0,226716.0,3.4e+17,310296166.0,0.0258,9.351,136.223,232.78205020000001,233.78652602218116,228.95080437942386,238.67452845055027,-9.723724071126412,-11.06501134317811,45.35310565782713,16.16428057536668,10.641989997829983,232.78205020000001,264.79328301827985,200.77081738172018
2015-02-08,227.692993,229.438004,221.076996,223.412003,223.412003,17145200,0,103449.0,428099.0,169080.0,4.07e+17,157002521.0,0.028,9.536,48.114,233.20960075,232.79847621054486,228.0986810902817,237.54397100976877,-9.445289919487067,-10.741067058439903,43.85587636239234,11.704961057216943,12.79907994813901,233.20960075,264.43170103391793,201.98750046608208
2015-02-09,223.389008,223.977005,217.018997,220.110001,220.110001,27791300,-1,149906.0,755611.0,209018.0,4.27e+17,283972295.0,0.0456,9.0,157.627,233.6493507,231.5900500000168,226.8696533840845,236.25256582385998,-9.382912439775481,-10.469436134707019,42.70137140043373,12.755062584719942,13.541434739101184,233.6493507,263.8024732684281,203.4962281315719
2015-02-10,220.281998,221.807007,215.332001,219.839005,219.839005,21115100,1,139608.0,527956.0,212062.0,3.96e+17,360564180.0,0.0238,10.435,112.467,233.2964508,230.47090285715802,225.78801517114843,235.03674650357405,-9.24873133242562,-10.22529517425074,42.60224923736464,14.35070668096966,12.93691010763551,233.2964508,263.94348031203555,202.64942128796446
2015-02-11,219.731995,223.406006,218.074005,219.184998,219.184998,17201900,-1,171955.0,625748.0,262075.0,4.74e+17,793712775.0,0.0336,9.412,120.05,232.58540039999997,229.39605477552394,224.77216637558712,233.8625429107167,-9.090376535129593,-9.99831144642651,42.34677127107709,21.12426662399,16.0766786298932,232.58540039999997,263.87488486006123,201.2959159399387
2015-02-12,219.207993,222.199005,217.613998,221.764008,221.764008,15206200,0,183362.0,655902.0,303196.0,5.62e+17,869403213.0,0.0356,8.944,146.944,232.02965089999998,228.669193177855,224.30937277934297,232.9663551395525,-8.656982360209525,-9.730045629183113,43.77855762082593,28.722551486503363,21.39917493048767,232.02965089999998,263.6898215057411,200.36948029425884
2015-02-13,221.968994,240.259003,221.261993,235.427002,235.427002,42744400,-1,113514.0,501160.0,210337.0,2.94e+17,213327107.0,0.0232,9.863,50.671,231.40865100000002,229.3127940180593,226.01977727482864,233.1486252773634,-7.128848002534767,-9.209806103853445,50.755847775881485,68.97649407951835,39.6077707300039,231.40865100000002,262.2388517015214,200.57845029847863
2015-02-14,235.528,259.808014,235.528,257.321014,257.321014,49732500,0,98613.0,415948.0,164268.0,3.45e+17,150700482.0,0.0246,9.0,37.242,231.58880159999998,231.98024354014888,230.83535215562426,234.93917259015132,-4.1038204345270515,-8.188608969988167,59.44196792337171,94.79631071611611,64.16511876071262,231.58880159999998,263.0044376234011,200.17316557659888
2015-02-15,257.506989,265.610992,227.684006,234.824997,234.824997,56552400,-1,85127.0,468765.0,197774.0,3.09e+17,165454855.0,0.025,10.286,44.651,229.65640185,232.25117244108708,231.4491436701436,234.93071513902902,-3.48157146888542,-7.247201469767617,49.73472587470629,39.500052136161784,67.75761897726541,229.65640185,254.2348672485982,205.07793645140183
2015-02-16,234.824997,239.520996,229.022003,233.843002,233.843002,28153700,-1,104475.0,414871.0,174468.0,3.46e+17,145162702.0,0.0235,9.172,46.414,228.17480164999998,232.40277525622164,231.8174295670446,234.85014379539723,-3.0327142283526314,-6.404304021484621,49.355821696087055,37.570257555783634,57.28887346935384,228.17480164999998,247.08960463892464,209.25999866107531
2015-02-17,233.421997,245.774994,232.313995,243.610001,243.610001,27363100,1,102839.0,445600.0,181573.0,3.43e+17,164108460.0,0.0239,9.664,56.116,228.65955205,233.47013008896243,233.6316713259608,235.49902210684928,-1.8673507808884722,-5.496913373365391,53.17674090967134,56.76414524030251,44.61148497741598,228.65955205,248.6595643697611,208.6595397302389
2015-02-18,243.779999,244.251007,232.339996,236.326004,236.326004,25200800,-1,105552.0,360977.0,168694.0,3.47e+17,178203062.0,0.024,8.623,52.384,228.80020224999998,233.74211808048983,234.04618404504376,235.56028002486045,-1.5140959798166875,-4.700349894655651,50.13862694328862,42.449797474691756,45.59473342359263,228.80020224999998,248.98266060361635,208.61774389638362
2015-02-19,236.410004,242.671997,235.591995,240.283005,240.283005,18270500,1,94386.0,315845.0,149795.0,3.77e+17,142242747.0,0.0238,8.675,51.351,229.49310235000002,234.36505969187175,235.00569496119087,235.9101115045004,-0.9044165433095372,-3.941163224386428,51.751309758011566,49.62510882527456,49.61301718008961,229.49310235000002,250.27485647395278,208.71134822604725
2015-02-20,240.251007,247.100998,239.298996,243.779007,243.779007,23876700,-1,98556.0,382467.0,160859.0,3.63e+17,169893535.0,0.0243,9.114,50.815,230.80885245000005,235.26162610216966,236.35543527485382,236.4929926523152,-0.13755737746137697,-3.180442055001418,53.1917566890646,56.57831518536243,49.55107382844292,230.80885245000005,251.71566382219788,209.9020410778022
2015-02-21,243.751999,255.320007,243.184006,244.533997,244.533997,12284200,1,87685.0,401430.0,175643.0,3.15e+17,130850822.0,0.0244,10.141,47.491,231.68695229999997,236.14470904482016,237.61367554026094,237.08862260399556,0.5250529362653822,-2.439343056748058,53.514519337480024,58.07991652020223,54.761113510279735,231.68695229999997,253.37583903753188,209.99806556246807
2015-02-22,244.544006,246.391998,233.850998,235.977005,235.977005,19527000,-1,84791.0,356192.0,152214.0,3.27e+17,100593613.0,0.0241,9.536,39.64,231.57435234999997,236.12873723102777,237.3618800725285,237.00628055925515,0.35559951327334716,-1.880354542743777,49.360177312692166,41.06089559354918,51.906375766371276,231.57435234999997,253.14328529258182,210.00541940741812
2015-02-23,235.994995,240.108994,232.421005,238.891998,238.891998,16400000,-1,101373.0,404640.0,169237.0,3.41e+17,169973141.0,0.0236,10.141,49.23,232.155552,236.39190492331085,237.59728283060105,237.14596333264365,0.45131949795739956,-1.4140197346035417,50.76243635349423,46.858531826941395,48.66644798023094,232.155552,253.86190360032037,210.44920039967963
2015-02-24,238.998001,239.901001,236.401993,238.735001,238.735001,14200400,-1,104996.0,435553.0,164780.0,3.11e+17,152841888.0,0.0238,11.163,67.575,232.74965219999999,236.61505693061457,237.77231639512397,237.2636698265219,0.5086465686020745,-1.0294864739624185,50.68103716275892,44.004845386775685,43.974757602422095,232.74965219999999,254.49531133220742,211.00399306779255
2015-02-25,238.889999,239.339996,235.529999,237.470001,237.470001,11496200,-1,105235.0,355713.0,163290.0,3.39e+17,172702298.0,0.0237,9.057,57.774,233.76760265000001,236.69648017531796,237.72580633433566,237.27895361714988,0.44685271718577724,-0.7342186357327795,49.985523399723064,41.369263666803775,44.07754696017361,233.76760265000001,254.30326903169714,213.2319362683029
2015-02-26,237.337006,237.710007,234.257004,236.425995,236.425995,13619400,1,100667.0,363955.0,161352.0,3.56e+17,254401531.0,0.0236,9.6,52.704,234.4756021,236.67071968243056,237.52583535982248,237.215771497361,0.310063862461476,-0.5253621360939283,49.3831905730762,34.19243352031464,39.85551419129803,234.4756021,254.30590655518318,214.64529764481682
2015-02-27,236.436005,256.653015,236.436005,253.828003,253.828003,44013900,1,101322.0,375526.0,165277.0,3.57e+17,355820188.0,0.025,9.474,66.544,235.77930235000002,238.3047466650562,240.03386115061903,238.44630716422316,1.587553986395875,-0.10277891159596769,58.384887967932386,68.9324403473558,48.164712511491395,235.77930235000002,257.1198365627686,214.43876813723142
2015-02-28,253.520004,254.692001,249.479004,254.263,254.263,13949300,-1,89490.0,442024.0,177143.0,3.39e+17,138846445.0,0.0253,10.141,47.321,237.32185220000002,239.82458031600322,242.2229594351392,239.61791404094737,2.6050453941918192,0.4387859495615897,58.583167600183174,70.07937303533687,57.7347489676691,237.32185220000002,259.3474124097083,215.29629199029176
2015-03-01,254.283005,261.660004,245.932999,260.201996,260.201996,25213700,0,82065.0,295066.0,143066.0,3.34e+17,235281521.0,0.0304,8.889,97.849,239.32645195,241.76528657162194,244.98896506050238,241.14266085272905,3.846304207773329,1.1202896012039378,61.294665754597716,95.53279013625863,78.1815345063171,239.32645195,262.04315085095124,216.60975304904878
2015-03-02,260.356995,276.300995,258.312988,275.670013,275.670013,40465700,1,91666.0,403982.0,167778.0,2.98e+17,283553978.0,0.0237,11.339,100.783,242.11800235,244.99430813622936,249.70912628196353,243.70024249326764,6.008883788695897,2.0980084387023297,67.29940763776591,98.56552617818896,88.0592297832615,242.11800235,268.22091088321855,216.01509381678147
2015-03-03,275.04599,285.79599,268.161011,281.701996,281.701996,50461300,-1,110823.0,406256.0,183413.0,3.71e+17,273582143.0,0.0275,9.114,80.431,245.24385225,248.49027840896943,254.63110623858452,246.51518719747003,8.115919041114495,3.301590559184763,69.29962569502966,92.34137522538632,95.47989717994464,245.24385225,274.5589097203028,215.92879477969726
2015-03-04,281.98999,284.225006,268.126007,273.09201,273.09201,41383000,0,104400.0,409758.0,157660.0,3.65e+17,166985185.0,0.0254,9.863,46.218,247.81025235,250.83330046525808,257.4712452788023,248.48384073839816,8.987404540404157,4.438753355428642,63.34366364539164,76.19862562959034,89.03517567772185,247.81025235,277.4555535252479,218.16495117475208
2015-03-05,272.739014,281.666992,264.769012,276.178009,276.178009,41302400,-1,84461.0,345736.0,141423.0,3.4e+17,166049188.0,0.024,10.213,65.156,249.84780270000002,253.2470822304716,260.3492089282173,250.53526060962793,9.813948318589382,5.51379234806079,64.52065860087905,81.98035840197419,83.50678641898361,249.84780270000002,281.4468064749698,218.2487989250303
2015-03-06,275.600006,277.608002,270.015015,272.722992,272.722992,28918900,-1,127458.0,471771.0,205703.0,3.55e+17,247037476.0,0.0226,10.141,85.82,250.6179016,255.1019307799505,262.2528678623377,252.17879626817398,10.07407159416374,6.425848197281381,62.115921690977096,75.5072568170276,77.89541361619737,250.6179016,283.6996990755744,217.5361041244256
2015-03-07,272.294006,277.854004,270.132996,276.260986,276.260986,17825900,1,129558.0,430182.0,208149.0,3.96e+17,293845935.0,0.0256,8.944,100.549,252.68970105,257.1170788961457,264.4079629604396,253.96266217423516,10.445300786204427,7.22973871506599,63.61155080815059,82.13581886720903,79.87447802873693,252.68970105,286.78162067494856,218.59778142505144
2015-03-08,276.433014,277.858002,272.565002,274.354004,274.354004,22067900,-1,119687.0,454890.0,187709.0,3.8e+17,236692000.0,0.0283,9.172,72.779,254.71525115000003,258.7586908107985,265.938123120372,255.47313193910662,10.464991181265361,7.876789208305864,62.18647710731763,78.56301786314312,78.73536451579325,254.71525115000003,288.90609961999786,220.5244026800022
